Sequence,Volt,Volt2
873,4.71e-01,5.31e-01
874,4.69e-01,5.26e-01
875,4.80e-01,5.31e-01
876,4.82e-01,5.31e-01
877,4.66e-01,5.25e-01
878,4.68e-01,5.29e-01
879,4.51e-01,5.24e-01
880,4.54e-01,5.30e-01
881,4.67e-01,5.24e-01
882,4.61e-01,5.28e-01
883,4.52e-01,5.24e-01
884,4.53e-01,5.28e-01
885,4.58e-01,5.24e-01
886,4.56e-01,5.25e-01
887,4.66e-01,5.30e-01
888,4.70e-01,5.30e-01
889,4.57e-01,5.25e-01
890,4.60e-01,5.28e-01
891,4.54e-01,5.24e-01
892,4.53e-01,5.29e-01
893,4.58e-01,5.24e-01
894,4.57e-01,5.25e-01
895,4.69e-01,5.30e-01
896,4.71e-01,5.30e-01
897,4.62e-01,5.26e-01
898,4.61e-01,5.24e-01
899,4.65e-01,5.30e-01
900,4.63e-01,5.30e-01
901,4.69e-01,5.25e-01
902,4.72e-01,5.30e-01
903,4.62e-01,5.25e-01
904,4.61e-01,5.29e-01
905,4.65e-01,5.25e-01
906,4.61e-01,5.30e-01
907,4.68e-01,5.25e-01
908,4.65e-01,5.26e-01
909,4.73e-01,5.31e-01
910,4.69e-01,5.26e-01
911,4.76e-01,5.30e-01
912,4.74e-01,5.32e-01
913,4.54e-01,5.21e-01
914,4.61e-01,5.33e-01
915,4.52e-01,5.20e-01
916,4.58e-01,5.30e-01
917,4.49e-01,5.22e-01
918,4.54e-01,5.30e-01
919,4.63e-01,5.24e-01
920,4.56e-01,5.28e-01
921,4.46e-01,5.24e-01
922,4.46e-01,5.23e-01
923,4.55e-01,5.28e-01
924,4.53e-01,5.24e-01
925,4.64e-01,5.29e-01
926,4.68e-01,5.30e-01
927,4.57e-01,5.25e-01
928,4.59e-01,5.29e-01
929,4.53e-01,5.24e-01
930,4.55e-01,5.28e-01
931,4.48e-01,5.23e-01
932,4.49e-01,5.24e-01
933,4.62e-01,5.29e-01
934,4.63e-01,5.29e-01
935,4.50e-01,5.24e-01
936,4.47e-01,5.23e-01
937,4.52e-01,5.28e-01
938,4.48e-01,5.24e-01
939,4.60e-01,5.29e-01
940,4.58e-01,5.24e-01
941,4.68e-01,5.30e-01
942,4.67e-01,5.29e-01
943,4.54e-01,5.24e-01
944,4.58e-01,5.28e-01
945,4.50e-01,5.24e-01
946,4.48e-01,5.28e-01
947,4.54e-01,5.24e-01
948,4.52e-01,5.24e-01
949,4.65e-01,5.29e-01
950,4.61e-01,5.28e-01
951,4.49e-01,5.24e-01
952,4.47e-01,5.24e-01
953,4.52e-01,5.28e-01
954,4.49e-01,5.24e-01
955,4.64e-01,5.30e-01
956,4.61e-01,5.25e-01
957,4.70e-01,5.31e-01
958,4.71e-01,5.25e-01
959,4.60e-01,5.30e-01
960,4.69e-01,5.30e-01
961,4.60e-01,5.25e-01
962,4.66e-01,5.26e-01
963,4.74e-01,5.30e-01
964,4.69e-01,5.29e-01
965,4.45e-01,5.23e-01
966,4.46e-01,5.24e-01
967,4.67e-01,5.29e-01
968,4.66e-01,5.26e-01
969,4.80e-01,5.31e-01
970,4.82e-01,5.31e-01
971,4.67e-01,5.26e-01
972,4.68e-01,5.29e-01
973,4.52e-01,5.24e-01
974,4.64e-01,5.29e-01
975,4.48e-01,5.23e-01
976,4.44e-01,5.23e-01
977,4.59e-01,5.28e-01
978,4.57e-01,5.26e-01
979,4.77e-01,5.31e-01
980,4.75e-01,5.27e-01
981,4.84e-01,5.32e-01
982,4.83e-01,5.31e-01
983,4.62e-01,5.25e-01
984,4.60e-01,5.24e-01
985,4.68e-01,5.29e-01
986,4.67e-01,5.30e-01
987,4.56e-01,5.24e-01
988,4.55e-01,5.24e-01
989,4.70e-01,5.30e-01
990,4.70e-01,5.30e-01
991,4.52e-01,5.24e-01
992,4.62e-01,5.30e-01
993,4.54e-01,5.24e-01
994,4.50e-01,5.23e-01
995,4.66e-01,5.29e-01
996,4.70e-01,5.30e-01
997,4.56e-01,5.24e-01
998,4.54e-01,5.28e-01
999,4.60e-01,5.24e-01
1000,4.57e-01,5.25e-01
1001,4.69e-01,5.30e-01
1002,4.70e-01,5.30e-01
1003,4.56e-01,5.25e-01
1004,4.58e-01,5.29e-01
1005,4.52e-01,5.24e-01
1006,4.56e-01,5.25e-01
1007,4.68e-01,5.30e-01
1008,4.64e-01,5.29e-01
1009,4.53e-01,5.24e-01
1010,4.51e-01,5.24e-01
1011,4.64e-01,5.29e-01
1012,4.62e-01,5.30e-01
1013,4.72e-01,5.25e-01
1014,4.69e-01,5.25e-01
1015,4.62e-01,5.30e-01
1016,4.62e-01,5.25e-01
1017,4.74e-01,5.31e-01
1018,4.69e-01,5.25e-01
1019,4.61e-01,5.30e-01
1020,4.67e-01,5.26e-01
1021,4.80e-01,5.31e-01
1022,4.80e-01,5.31e-01
1023,4.58e-01,5.25e-01
1024,4.66e-01,5.30e-01
1025,4.55e-01,5.24e-01
1026,4.52e-01,5.24e-01
1027,4.68e-01,5.30e-01
1028,4.66e-01,5.30e-01
1029,4.53e-01,5.24e-01
1030,4.54e-01,5.24e-01
1031,4.60e-01,5.29e-01
1032,4.58e-01,5.29e-01
1033,4.68e-01,5.25e-01
1034,4.63e-01,5.29e-01
1035,4.54e-01,5.24e-01
1036,4.55e-01,5.29e-01
1037,4.62e-01,5.24e-01
1038,4.60e-01,5.25e-01
1039,4.72e-01,5.30e-01
1040,4.69e-01,5.30e-01
1041,4.53e-01,5.24e-01
1042,4.63e-01,5.30e-01
1043,4.53e-01,5.24e-01
1044,4.51e-01,5.24e-01
1045,4.66e-01,5.29e-01
1046,4.71e-01,5.30e-01
1047,4.58e-01,5.24e-01
1048,4.59e-01,5.24e-01
1049,4.54e-01,5.29e-01
1050,4.54e-01,5.24e-01
1051,4.67e-01,5.30e-01
1052,4.69e-01,5.30e-01
1053,4.55e-01,5.25e-01
1054,4.58e-01,5.28e-01
1055,4.52e-01,5.24e-01
1056,4.52e-01,5.24e-01
1057,4.68e-01,5.30e-01
1058,4.67e-01,5.29e-01
1059,4.54e-01,5.24e-01
1060,4.59e-01,5.24e-01
1061,4.54e-01,5.29e-01
1062,4.55e-01,5.25e-01
1063,4.70e-01,5.30e-01
1064,4.68e-01,5.30e-01
1065,4.55e-01,5.24e-01
1066,4.60e-01,5.28e-01
1067,4.53e-01,5.24e-01
1068,4.54e-01,5.24e-01
1069,4.70e-01,5.30e-01
1070,4.71e-01,5.25e-01
1071,4.61e-01,5.30e-01
1072,4.59e-01,5.29e-01
1073,4.71e-01,5.25e-01
1074,4.73e-01,5.31e-01
1075,4.58e-01,5.25e-01
1076,4.56e-01,5.24e-01
1077,4.73e-01,5.30e-01
1078,4.71e-01,5.31e-01
1079,4.80e-01,5.26e-01
1080,4.73e-01,5.30e-01
1081,4.58e-01,5.25e-01
1082,4.66e-01,5.30e-01
1083,4.54e-01,5.24e-01
1084,4.58e-01,5.25e-01
1085,4.78e-01,5.30e-01
1086,4.76e-01,5.27e-01
1087,4.83e-01,5.31e-01
1088,4.83e-01,5.27e-01
1089,4.79e-01,5.32e-01
1090,4.83e-01,5.31e-01
1091,4.78e-01,5.26e-01
1092,4.83e-01,5.27e-01
1093,4.79e-01,5.32e-01
1094,4.82e-01,5.27e-01
1095,4.79e-01,5.32e-01
1096,4.79e-01,5.27e-01
1097,4.88e-01,5.32e-01
1098,4.86e-01,5.32e-01
1099,4.90e-01,5.28e-01
1100,4.86e-01,5.32e-01
1101,4.90e-01,5.28e-01
1102,4.87e-01,5.32e-01
1103,4.91e-01,5.28e-01
1104,4.92e-01,5.28e-01
1105,4.88e-01,5.32e-01
1106,4.91e-01,5.33e-01
1107,4.86e-01,5.28e-01
1108,4.86e-01,5.33e-01
1109,4.91e-01,5.28e-01
1110,4.91e-01,5.28e-01
1111,4.87e-01,5.32e-01
1112,4.88e-01,5.28e-01
1113,4.91e-01,5.33e-01
1114,4.92e-01,5.32e-01
1115,4.88e-01,5.27e-01
1116,4.87e-01,5.33e-01
1117,4.91e-01,5.28e-01
1118,4.91e-01,5.32e-01
1119,4.87e-01,5.28e-01
1120,4.91e-01,5.28e-01
1121,4.87e-01,5.32e-01
1122,4.87e-01,5.28e-01
1123,4.91e-01,5.33e-01
1124,4.92e-01,5.28e-01
1125,4.88e-01,5.33e-01
1126,4.88e-01,5.27e-01
1127,4.92e-01,5.32e-01
1128,4.88e-01,5.28e-01
1129,4.92e-01,5.33e-01
1130,4.92e-01,5.27e-01
1131,4.88e-01,5.32e-01
1132,4.88e-01,5.28e-01
1133,4.92e-01,5.32e-01
1134,4.89e-01,5.32e-01
1135,4.92e-01,5.28e-01
1136,4.92e-01,5.32e-01
1137,4.89e-01,5.28e-01
1138,4.89e-01,5.28e-01
1139,4.92e-01,5.32e-01
1140,4.93e-01,5.28e-01
1141,4.88e-01,5.32e-01
1142,4.92e-01,5.33e-01
1143,4.88e-01,5.28e-01
1144,4.88e-01,5.33e-01
1145,4.92e-01,5.28e-01
1146,4.88e-01,5.28e-01
1147,4.92e-01,5.32e-01
1148,4.88e-01,5.27e-01
1149,4.92e-01,5.33e-01
1150,4.88e-01,5.28e-01
1151,4.92e-01,5.32e-01
1152,4.88e-01,5.28e-01
1153,4.91e-01,5.32e-01
1154,4.92e-01,5.28e-01
1155,4.88e-01,5.32e-01
1156,4.88e-01,5.28e-01
1157,4.92e-01,5.32e-01
1158,4.91e-01,5.28e-01
1159,4.88e-01,5.32e-01
1160,4.91e-01,5.32e-01
1161,4.87e-01,5.28e-01
1162,4.86e-01,5.28e-01
1163,4.91e-01,5.32e-01
1164,4.92e-01,5.33e-01
1165,4.87e-01,5.28e-01
1166,4.92e-01,5.32e-01
1167,4.86e-01,5.28e-01
1168,4.87e-01,5.28e-01
1169,4.91e-01,5.32e-01
1170,4.88e-01,5.32e-01
1171,4.91e-01,5.28e-01
1172,4.88e-01,5.33e-01
1173,4.92e-01,5.28e-01
1174,4.88e-01,5.32e-01
1175,4.92e-01,5.28e-01
1176,4.91e-01,5.32e-01
1177,4.87e-01,5.28e-01
1178,4.88e-01,5.28e-01
1179,4.92e-01,5.32e-01
1180,4.92e-01,5.32e-01
1181,4.87e-01,5.28e-01
1182,4.86e-01,5.28e-01
1183,4.91e-01,5.32e-01
1184,4.87e-01,5.32e-01
1185,4.91e-01,5.27e-01
1186,4.88e-01,5.28e-01
1187,4.92e-01,5.32e-01
1188,4.88e-01,5.32e-01
1189,4.92e-01,5.28e-01
1190,4.91e-01,5.32e-01
1191,4.87e-01,5.28e-01
1192,4.87e-01,5.28e-01
1193,4.92e-01,5.32e-01
1194,4.92e-01,5.32e-01
1195,4.88e-01,5.28e-01
1196,4.91e-01,5.32e-01
1197,4.87e-01,5.28e-01
1198,4.88e-01,5.28e-01
1199,4.91e-01,5.33e-01
